Pregunta,Respuesta
gracias,"De nada, fue un placer ayudarte con la información sobre el proceso de titulación en la Universidad Veracruzana. Si necesitas algo más, no dudes en preguntar. ¡Que tengas un buen día!"
que es una baja definitiva,"Una <strong>baja definitiva</strong> es la pérdida de los derechos de inscripción y, en su caso, la cancelación de la inscripción en un programa educativo de la Universidad Veracruzana.  
<br>• Significa que el estudiante ya no puede volver a inscribirse ni en ese mismo programa ni en otro programa de la Universidad que otorgue el mismo título o grado académico, aunque sea en otra modalidad o modelo.  
<br>• Se registra cuando se agotan las oportunidades de inscripción que le corresponden al alumno o cuando se cumplen otras causas establecidas en el Estatuto de los Alumnos (artículos 39‑41).<br><br>En resumen, la baja definitiva implica la exclusión permanente del estudiante de los programas académicos que conducen al mismo título dentro de la Universidad."
explica mas sobre la baja definitiva,"Una baja se refiere a la cancelación de la inscripción en un programa educativo. Hay diferentes tipos de bajas, como:
<br>• Baja temporal: permite cancelar la inscripción al programa educativo durante un periodo determinado, ya sea por experiencia educativa o por periodo escolar.
<br>• Baja temporal extemporánea: es una baja temporal que se solicita fuera del plazo establecido, por causas de fuerza mayor debidamente justificadas.
<br>• Baja definitiva: es la privación de los derechos de inscripción y cancelación de la misma en un programa educativo, lo que impide el ingreso a otro programa de la institución que otorgue el mismo título o grado académico.

Cada tipo de baja tiene su propio procedimiento y requisitos para ser solicitada."
baja definitiva dime el significado,"Una baja se refiere a la cancelación de la inscripción en un programa educativo. Hay diferentes tipos de bajas, como:
<br>• Baja temporal: permite cancelar la inscripción al programa educativo durante un periodo determinado, ya sea por experiencia educativa o por periodo escolar.
<br>• Baja temporal extemporánea: es una baja temporal que se solicita fuera del plazo establecido, por causas de fuerza mayor debidamente justificadas.
<br>• Baja definitiva: es la privación de los derechos de inscripción y cancelación de la misma en un programa educativo, lo que impide el ingreso a otro programa de la institución que otorgue el mismo título o grado académico.

Cada tipo de baja tiene su propio procedimiento y requisitos para ser solicitada."
que es una baja definitia,"Una baja se refiere a la cancelación de la inscripción en un programa educativo. Hay diferentes tipos de bajas, como:
<br>• Baja temporal: permite cancelar la inscripción al programa educativo durante un periodo determinado, ya sea por experiencia educativa o por periodo escolar.
<br>• Baja temporal extemporánea: es una baja temporal que se solicita fuera del plazo establecido, por causas de fuerza mayor debidamente justificadas.
<br>• Baja definitiva: es la privación de los derechos de inscripción y cancelación de la misma en un programa educativo, lo que impide el ingreso a otro programa de la institución que otorgue el mismo título o grado académico.

Cada tipo de baja tiene su propio procedimiento y requisitos para ser solicitada."
explica mas sobre la baja definiitva,"Una baja se refiere a la cancelación de la inscripción en un programa educativo. Hay diferentes tipos de bajas, como:
<br>• Baja temporal: permite cancelar la inscripción al programa educativo durante un periodo determinado, ya sea por experiencia educativa o por periodo escolar.
<br>• Baja temporal extemporánea: es una baja temporal que se solicita fuera del plazo establecido, por causas de fuerza mayor debidamente justificadas.
<br>• Baja definitiva: es la privación de los derechos de inscripción y cancelación de la misma en un programa educativo, lo que impide el ingreso a otro programa de la institución que otorgue el mismo título o grado académico.

Cada tipo de baja tiene su propio procedimiento y requisitos para ser solicitada."
como cambio de tutor,"Para cambiar de tutor académico en la Universidad Veracruzana, debes seguir los siguientes pasos:
<br>• Debes presentar una solicitud escrita al Coordinador del Sistema Tutorial (CST) de tu programa educativo, previo a la tercera sesión de tutorías con base en las fechas institucionales.
<br>• La solicitud se puede realizar a través de correo electrónico dirigido al Coordinador del sistema tutorial de tu programa educativo, o mediante la Guía del estudiante en línea, en el apartado de Tutorías, cambio de tutor.
<br>• Debes proporcionar los motivos para solicitar el cambio de tutor.
<br>• Es importante mencionar que tienes derecho a solicitar cambio de tutor académico hasta por tres ocasiones durante tu permanencia en el programa educativo, previa autorización del Coordinador del Sistema Tutorial de la entidad.

Recuerda que al final del periodo escolar podrás evaluar al tutor que tengas asignado en ese momento, por lo que ya no podrás evaluar al tutor que tuviste asignado previamente."
como realizo una baja definitva,"Una baja se refiere a la cancelación de la inscripción en un programa educativo. Hay diferentes tipos de bajas, como:
<br>• Baja temporal: permite cancelar la inscripción al programa educativo durante un periodo determinado, ya sea por experiencia educativa o por periodo escolar.
<br>• Baja temporal extemporánea: es una baja temporal que se solicita fuera del plazo establecido, por causas de fuerza mayor debidamente justificadas.
<br>• Baja definitiva: es la privación de los derechos de inscripción y cancelación de la misma en un programa educativo, lo que impide el ingreso a otro programa de la institución que otorgue el mismo título o grado académico.

Cada tipo de baja tiene su propio procedimiento y requisitos para ser solicitada."
como realizo una baja definitva,"Una baja se refiere a la cancelación de la inscripción en un programa educativo. Hay diferentes tipos de bajas, como:
<br>• Baja temporal: permite cancelar la inscripción al programa educativo durante un periodo determinado, ya sea por experiencia educativa o por periodo escolar.
<br>• Baja temporal extemporánea: es una baja temporal que se solicita fuera del plazo establecido, por causas de fuerza mayor debidamente justificadas.
<br>• Baja definitiva: es la privación de los derechos de inscripción y cancelación de la misma en un programa educativo, lo que impide el ingreso a otro programa de la institución que otorgue el mismo título o grado académico.

Cada tipo de baja tiene su propio procedimiento y requisitos para ser solicitada."
explica solamente sobre la baja definitiva,"Una baja se refiere a la cancelación de la inscripción en un programa educativo. Hay diferentes tipos de bajas, como:
<br>• Baja temporal: permite cancelar la inscripción al programa educativo durante un periodo determinado, ya sea por experiencia educativa o por periodo escolar.
<br>• Baja temporal extemporánea: es una baja temporal que se solicita fuera del plazo establecido, por causas de fuerza mayor debidamente justificadas.
<br>• Baja definitiva: es la privación de los derechos de inscripción y cancelación de la misma en un programa educativo, lo que impide el ingreso a otro programa de la institución que otorgue el mismo título o grado académico.

Cada tipo de baja tiene su propio procedimiento y requisitos para ser solicitada."
como puedo obtener mi credencial fisica,"Para obtener tu credencial física, debes seguir los siguientes pasos:
<br>• Debes generar y descargar la constancia de vigencia de derechos desde el portal del IMSS.
<br>• Luego, debes darte de alta en la unidad médica correspondiente a través del portal del IMSS.
<br>• Una vez que hayas completado estos pasos, podrás obtener tu credencial física.

Sin embargo, si estás buscando obtener una credencial de estudiante o egresado de la Universidad Veracruzana, el proceso puede variar. No tengo información específica sobre cómo obtener una credencial física en este contexto. Si necesitas más información, te recomiendo contactar directamente con la universidad o revisar su sitio web oficial."
como tramito mi seguro facultativo,"Para tramitar tu seguro facultativo, sigue estos pasos:
<br>• Genera y descarga la constancia de vigencia de derechos ingresando al portal de IMSS, para lo cual necesitarás tu CURP, Número de Seguridad Social (NSS) y un correo electrónico personal.
<br>• Valida el estado de la vigencia de derechos en el apartado ""Detalle de vigencia"", donde deberá decir ""ALTA"" y en los datos de ""Aseguramiento"" deberá aparecer el nombre o razón social de la Universidad Veracruzana.
<br>• Sube la constancia de vigencia al formulario UV con tu usuario y contraseña institucional para verificar que tu inscripción se haya realizado correctamente.
<br>• Confirma tu registro. Una vez que el alta se haya registrado en el sistema IDSE del IMSS, recibirás una confirmación por correo electrónico desde la cuenta segurofacultativo@uv.mx.
<br>• Realiza el alta en la clínica del IMSS a través de su portal una vez que recibas la confirmación por correo electrónico.
<br>• Genera nuevamente la constancia de vigencia de derechos para verificar que aparezca actualizada la información de la clínica.

Es importante conservar un archivo digital de la Constancia de Vigencia de Derechos y entregar una copia impresa a un familiar o contacto de emergencia."
explica detalladamente que es una baja definitiva,"La baja definitiva es la privación de los derechos de inscripción y, en su caso, la cancelación de la misma, en un programa educativo, e impide el ingreso a otro programa de la Institución que otorgue el mismo título o Grado Académico, aún en diferente modelo o modalidad.

Para solicitar una baja definitiva, el estudiante debe presentar una solicitud por escrito a la Secretaría de la Facultad o Entidad Académica correspondiente. 

Las causas de baja definitiva incluyen:
<br>• Agotar las oportunidades de inscripción a que tienen derecho los alumnos, atendiendo el nivel educativo que se cursa.
<br>• Reprobar dos o más experiencias educativas en examen extraordinario en segunda inscripción en el periodo escolar.
<br>• Reprobar un examen de última oportunidad en los niveles que aplique.
<br>• Exceder el límite de permanencia establecido en el plan de estudios del programa educativo.
<br>• Ser sancionado con la expulsión de la entidad académica o de la Universidad Veracruzana.
<br>• Rebasar el tiempo establecido en el caso de baja temporal por periodo.
<br>• Omitir inscribirse en dos periodos escolares consecutivos sin salvaguardar sus derechos por medio de baja temporal.
<br>• No cumplir con los aspectos de escolaridad que determine el programa educativo de posgrado.
<br>• Que el propio alumno la solicite.

Es importante mencionar que cuando se dé la baja definitiva por expulsión, sus efectos serán los siguientes: 
<br>• De la entidad académica: Impide la inscripción en cualquier programa educativo que en ella se imparta.
<br>• De la Universidad Veracruzana: Impide la inscripción en cualquier programa educativo que en la institución se imparta."
que es una movilidad,"La movilidad estudiantil se refiere a la estancia temporal que realiza un alumno de la Universidad Veracruzana para cursar estudios y obtener créditos en otras entidades académicas de la institución o en instituciones de educación superior del país o del extranjero, manteniendo el carácter de alumno de la Universidad Veracruzana.

Existen tres tipos de movilidad estudiantil:
<br>• Movilidad estudiantil institucional: se realiza dentro de la Universidad Veracruzana, en diferentes entidades académicas.
<br>• Movilidad estudiantil nacional: se realiza en instituciones de educación superior del país.
<br>• Movilidad estudiantil internacional: se realiza en instituciones de educación superior del extranjero.

Cada tipo de movilidad tiene sus propios requisitos y procedimientos, pero en general, los alumnos deben estar inscritos en el programa educativo de origen y cumplir con las disposiciones institucionales y la documentación requerida."
como puedo hacer una movilidad,"Para realizar una movilidad estudiantil, debes seguir los siguientes pasos y cumplir con los requisitos correspondientes, dependiendo del tipo de movilidad que desees realizar:
<br>• Para la movilidad estudiantil institucional, debes estar inscrito en el programa educativo de origen y cumplir con las disposiciones institucionales y la documentación requerida. Debes solicitar tu inscripción en las experiencias educativas ofrecidas por otra entidad académica durante los primeros cinco días hábiles de cada período escolar.
<br>• Para la movilidad estudiantil nacional, es necesario que exista un convenio entre la Universidad Veracruzana y la institución de educación superior de destino. Debes cumplir con las disposiciones institucionales y los términos de las convocatorias oficiales o de los convenios.
<br>• Para la movilidad estudiantil internacional, también es necesario que exista un convenio entre la Universidad Veracruzana y la institución de educación superior de destino. Debes cumplir con las disposiciones institucionales y los términos de las convocatorias oficiales o de los convenios. Además, debes solicitar el visto bueno del Director de la Facultad o Instituto y obtener un dictamen previo de equivalencia relacionado con el programa educativo que deseas cursar.

Es importante que consultes el Reglamento de Movilidad y los requisitos específicos para cada tipo de movilidad en el Portal de Estudiantes de la Universidad Veracruzana para obtener más información y seguir los procedimientos adecuados."
que es una baj aextemporanea,"Una baja extemporánea se refiere a la cancelación de la inscripción en un programa educativo que se solicita fuera del plazo establecido.<br><br>En el contexto de la Universidad Veracruzana, la baja temporal extemporánea por experiencia educativa o por período escolar procede cuando por causas de fuerza mayor, debidamente justificadas, así lo determine y apruebe el Consejo Técnico o el órgano equivalente.<br><br>Para solicitar una baja temporal extemporánea, es necesario presentar una solicitud por escrito al Consejo Técnico de la Facultad o Entidad Académica, o al órgano equivalente, antes de que inicie el período de evaluación ordinaria establecido en el calendario escolar.<br><br>La solicitud debe incluir el nombre completo, matrícula, el período escolar y la experiencia educativa a dar de baja, así como anexar el soporte documental que justifique la causa de fuerza mayor.<br><br>Es importante mencionar que la baja temporal extemporánea tiene un procedimiento y requisitos específicos que deben seguirse para ser solicitada.<br><br>Si tienes alguna duda o necesitas más información, te recomiendo consultar con la Secretaría de tu Facultad o Entidad Académica."
como puedo tramitar mi cedula profesional,"Para tramitar tu cédula profesional, debes seguir los siguientes pasos:
<br>• La institución educativa debe haber remitido tu título profesional electrónico con efectos de registro a la Dirección General de Profesiones.<br><br><br>• Debes contar con tu CURP.<br><br><br>• Es necesario que tengas e.firma, si no la tienes, puedes programar una cita en línea en el SAT o acudir a los diferentes módulos en todo el país, el servicio es gratuito.<br><br><br>• Tarjeta bancaria (crédito o débito), si no cuentas con una, el cargo puede ser mediante la tarjeta de otra persona.<br><br><br>• Ingresa a la Dirección General de Profesiones de la SEP y sigue los pasos que ahí se indican en el link: https://msirepve.sep.gob.mx/validacionelectronica/publico/startCedulaElectronica!startWizard.action

El trámite se realiza directamente en la página de la Secretaria de Educación Pública.<br><br>Es importante que tengas en cuenta que es necesario contar con tu e.firma para realizar el trámite.<br><br>Si tienes alguna duda, puedes comunicarte con la Oficialía Mayor a través del Departamento de Certificación y Legalización."
que e suna lata,"No tengo esa información.<br><br>La conversación anterior se centró en la explicación de qué es una baja en el contexto de la Universidad Veracruzana, pero no se mencionó el término ""lata"".<br><br>Si necesitas información sobre bajas o algún otro tema relacionado con la Universidad Veracruzana, estaré encantado de ayudarte."
que es una alta,"Una alta se refiere al proceso de inscripción o registro de un estudiante en un programa educativo o servicio dentro de la Universidad Veracruzana.<br><br>En el contexto del seguro facultativo, la alta se refiere al registro del estudiante en el seguro facultativo del IMSS, que es un derecho que tienen los estudiantes de la Universidad Veracruzana.<br><br>Para realizar el trámite de alta de seguro facultativo, es necesario:<br>- Generar y descargar la constancia de vigencia de derechos ingresando al portal de IMSS
<br>• Validar el estado de la vigencia de derechos
<br>• Subir la constancia de vigencia al formulario UV
<br>• Confirmar el registro

Una vez que el alta se haya registrado en el sistema IDSE del IMSS, el estudiante recibirá una confirmación por correo electrónico.<br><br>Es importante mencionar que no es necesario solicitar el alta de seguro facultativo cada semestre, mientras el estudiante permanezca inscrito, la cobertura seguirá vigente."
como puedo hacer una equivalencia de creditos,"Para hacer una equivalencia de créditos, debes seguir los siguientes pasos:
<br>• Verifica que los estudios parciales realizados en otras instituciones de educación superior del país o del extranjero puedan ser reconocidos como máximo el equivalente al setenta y cinco por ciento del total de experiencias educativas o materias.
<br>• Identifica las experiencias educativas que deseas equivalenciar y asegúrate de que no sean del Área de Formación Básica General (AFBG) o del Área de Formación de Elección Libre (AFEL), ya que tienen procedimientos específicos.
<br>• Si deseas equivalenciar créditos de Lengua I/II o Inglés I/II, puedes hacerlo a través del Centro de Idiomas.
<br>• Si deseas equivalenciar créditos del Área de Formación de Elección Libre (AFEL), debes seguir el trámite de Reconocimiento de créditos para el AFEL.
<br>• Debes obtener una Constancia o Dictamen de Equivalencia/Revalidación de estudios, que es el comprobante que se obtiene al realizar el trámite de equivalencia de créditos.<br><br>Es importante que te comuniques con la Secretaría Académica o el Departamento de Control Escolar de la Universidad Veracruzana para obtener más información y seguir los procedimientos específicos para tu caso."
explica a detalle que e suna baja temporal,"Una baja temporal es la cancelación de la inscripción solicitada y obtenida por el alumno del programa educativo de origen para dejar a salvo los derechos escolares que la misma otorga.<br><br>Hay dos tipos de bajas temporales:
<br>• Baja temporal por periodo escolar: permite cancelar la inscripción al mismo.<br><br>Para solicitarla, debes presentar un escrito a la Secretaría de Facultad o Entidad Académica durante los primeros quince días naturales de iniciado el período escolar.<br><br>Luego, debes realizar el pago de los derechos arancelarios en la caja de tu Facultad o Entidad Académica por concepto de autorización de la baja temporal.
<br>• Baja temporal por experiencia educativa: permite cancelar el registro académico de inscripción a la misma, y su autorización queda sujeta al número mínimo de créditos o de experiencias educativas requeridos por período escolar, establecido en cada plan de estudios.<br><br>Para solicitarla, debes presentar tu solicitud por escrito ante la Secretaría de Facultad o Entidad Académica dentro de los primeros cinco días hábiles contados a partir de la fecha de inicio del mismo.<br><br>También existe la baja temporal extemporánea, que procede cuando por causas de fuerza mayor, debidamente justificadas, así lo determine y apruebe el Consejo Técnico o el órgano equivalente.<br><br>Para solicitarla, debes presentar un escrito al Consejo Técnico de la Facultad o Entidad Académica, o al Órgano equivalente, antes de que inicie el período de evaluación ordinaria establecido en el calendario escolar.<br><br>El escrito debe especificar tu nombre completo, matrícula, el periodo escolar y la experiencia educativa a dar de baja, además de anexar el soporte documental que justifique la causa de fuerza mayor para solicitar la baja temporal extemporánea."
que es el comite de promejoras,"El Comité Pro‑Mejoras es un órgano interno de cada Entidad Académica de la Universidad Veracruzana que:
<br>• <strong>Administra</strong> los recursos provenientes de la cuota Pro‑Mejoras que aportan los estudiantes.  
<br>• <strong>Gestiona</strong> la utilización de esos recursos para mejorar los servicios académico‑administrativos y la calidad de la vida estudiantil (infraestructura, equipamiento, actividades de apoyo, etc.).  
<br>• <strong>Supervisa</strong> que el uso de la cuota cumpla con los lineamientos y reglamentos establecidos por la universidad y la normativa vigente.<br><br>En resumen, el Comité Pro‑Mejoras es el responsable de recibir, administrar y aplicar la cuota que los alumnos aportan para impulsar mejoras en su entorno académico y de servicios."
que es el examen general de salud,"El <strong>Examen de Salud Integral (ESI)</strong> es una valoración que la Universidad Veracruzana realiza al ingresar a la institución.<br><br>Su objetivo es:
<br>• Evaluar tu estado de salud actual y los principales factores de riesgo.
<br>• Identificar áreas de atención prioritarias para ofrecerte un estilo de vida saludable.
<br>• Diseñar programas de salud y, en caso de vulnerabilidad, establecer los ajustes razonables necesarios para que recibas una educación de calidad.<br><br>En resumen, es un examen médico integral que permite a la universidad conocer tu salud y brindarte el apoyo necesario desde el primer día de estudio."
que es el estatudo de los alumnos,"El <strong>Estatuto de los Alumnos 2008</strong> es el documento normativo que regula la vida académica y institucional de los estudiantes de la Universidad Veracruzana.  
<br>• Establece las bases para el ingreso, la permanencia y el egreso de los alumnos.  
<br>• Define los derechos y obligaciones que deben observar tanto los estudiantes como la Universidad.  
<br>• Regula la representación estudiantil (Consejero Alumno), los requisitos para ocupar esos cargos y la participación de los alumnos en los órganos de gobierno universitario.  
<br>• Contiene disposiciones sobre estímulos, reconocimientos, becas y otros beneficios que pueden recibir los estudiantes, siempre que cumplan con los requisitos señalados.<br><br>En resumen, el Estatuto es la normativa que garantiza el marco legal para que los alumnos desarrollen sus estudios bajo condiciones claras y equitativas, y puedan ejercer su participación dentro de la comunidad universitaria."
dime de que va el capitulo 1,"<strong>Capítulo I</strong> aparece en varios títulos del reglamento de la Universidad Veracruzana.<br><br>A continuación tienes un resumen breve de cada uno de ellos según el contexto que tenemos:
<br>• <strong>Capítulo I Del Servicio Social</strong>  
<br>• Define quiénes deben realizar el servicio social, los requisitos para su inscripción, los lugares donde puede llevarse a cabo y los documentos que deben presentarse al terminar.  
<br>• Establece los plazos, la duración mínima (480 horas) y las consecuencias de no cumplir con esta obligación (imposibilidad de egresar o de tramitar ciertos documentos).
<br>• <strong>Capítulo I De la Experiencia Recepcional</strong>  
<br>• Regula el proceso de titulación de los estudiantes.  
<br>• Señala los requisitos para presentar la experiencia recepcional (actas, informes, evidencias), los criterios de evaluación y los tipos de reconocimiento (nota laudatoria, cuadro de honor, mención honorífica).  
<br>• Indica los documentos que deben anexarse según el nivel académico (licenciatura, maestría, doctorado, etc.) y los formatos (físico y electrónico) para la expedición del título.
<br>• <strong>Capítulo I Del Consejero Alumno</strong>  
<br>• Describe la figura del Consejero Alumno, sus atribuciones y la forma de elección.  
<br>• Establece sus funciones de representación, coordinación con la autoridad académica y participación en los órganos de gobierno universitario.
<br>• <strong>Capítulo I De las Organizaciones Estudiantiles</strong> (Título XVI)  
<br>• Expone los requisitos para la creación y registro de organizaciones estudiantiles, sus derechos y obligaciones, y los procedimientos para su reconocimiento oficial por la universidad.
<br>• <strong>Capítulo I De los Derechos</strong> (Título XVII)  
<br>• Enumera los derechos que asisten a los estudiantes dentro del ámbito académico y comunitario, como el derecho a la educación, a la información, a la participación y a la igualdad de oportunidades.
<br>• <strong>Capítulo I De las Obligaciones</strong> (Título XVII)  
<br>• Señala las obligaciones que deben cumplir los alumnos, como la asistencia regular, el cumplimiento de normas de conducta, la presentación de trabajos y la responsabilidad en el uso de los recursos institucionales.
<br>• <strong>Capítulo I De las Faltas</strong> y <strong>Capítulo I De las Sanciones</strong> (Título XVII)  
<br>• Definen las conductas consideradas faltas y las sanciones correspondientes (amonestación, suspensión, expulsión, etc.).<br><br>En resumen, el <strong>Capítulo I</strong> de cada título establece los fundamentos y las normas básicas del tema que le corresponde: servicio social, titulación, representación estudiantil, organizaciones, derechos, obligaciones, faltas y sanciones.<br><br>Si necesitas información más detallada de alguno de estos capítulos en particular, házmelo saber."
de que va el estatu de los alumnos capitulo 1,"<strong>Capítulo I – De los conceptos generales</strong>  

Este capítulo abre el <strong>Estatuto de los Alumnos 2008</strong> y establece las bases conceptuales que rigen toda la normativa estudiantil.<br><br>En él se definen:
<br>• <strong>Los conceptos esenciales</strong> (alumno, entidad académica, plan de estudios, etc.) que se emplearán en el resto del documento.  
<br>• <strong>El objeto del Estatuto</strong>, es decir, regular el ingreso, la permanencia, el egreso y la participación de los estudiantes en la Universidad Veracruzana.  
<br>• <strong>Los principios rectores</strong> (equidad, igualdad de oportunidades, transparencia, etc.) que deben observar tanto la Universidad como los alumnos al aplicar las disposiciones del Estatuto.<br><br>En resumen, el Capítulo I delimita el marco conceptual y los fundamentos sobre los que se construye todo lo demás del Estatuto de los Alumnos."
que pasa si no pago el promejoras,No tengo esa información.
las cuotas son voluntarias,"Sí, las cuotas que se recaudan a través del programa Pro‑Mejoras son <strong>voluntarias</strong>.  
<br>• Se consideran donativos de los alumnos, tal como se indica en el Artículo 30 del Reglamento de Ingresos y Egresos de la Universidad Veracruzana.  
<br>• Su destino y administración están regulados por los Comités Pro‑Mejoras, pero su pago no es obligatorio para la matrícula ni para la prestación de los servicios educativos.<br><br>Por lo tanto, los estudiantes pueden decidir si aportan o no la cuota voluntaria."
como licenciatura cuanto tengo que pagar de inscripcion,No tengo esa información.
