Dia,Fecha,Hora,Programa,Dispositivo,IP
Tuesday,2025-12-16,15:18:36,Administración,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",127.0.0.1
Tuesday,2025-12-16,15:23:35,TI Organizaciones,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",127.0.0.1
Tuesday,2025-12-16,20:36:39,TI Organizaciones,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",127.0.0.1
Tuesday,2025-12-16,20:36:58,TI Organizaciones,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",127.0.0.1
Tuesday,2025-12-16,21:02:03,Administración,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",127.0.0.1
Tuesday,2025-12-16,21:03:23,TI Organizaciones,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",127.0.0.1
Friday,2025-12-19,16:52:25,TI Organizaciones,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",192.168.0.100
Friday,2025-12-19,16:53:26,TI Organizaciones,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",192.168.0.100
Friday,2025-12-19,17:50:14,TI Organizaciones,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",192.168.0.100
Friday,2025-12-19,17:54:13,Contabilidad,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",192.168.0.100
Friday,2025-12-19,17:54:25,TI Organizaciones,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",192.168.0.100
Friday,2025-12-19,17:54:43,TI Organizaciones,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",192.168.0.100
Friday,2025-12-19,18:29:04,TI Organizaciones,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",192.168.0.100
Friday,2025-12-19,18:29:12,TI Organizaciones,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",192.168.0.100
Friday,2025-12-19,18:34:11,Ingeniería de Software,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",192.168.0.100
Friday,2025-12-19,18:39:28,TI Organizaciones,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",192.168.0.100
Friday,2025-12-19,18:39:50,Ingeniería de Software,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",192.168.0.100
Friday,2025-12-19,18:39:59,Ingeniería de Software,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",192.168.0.100
Friday,2025-12-19,18:40:08,Contabilidad,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",192.168.0.100
Friday,2025-12-19,18:40:19,Ingeniería de Software,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",192.168.0.100
Friday,2025-12-19,18:40:30,TI Organizaciones,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",192.168.0.100
Sunday,2025-12-21,09:13:11,TI Organizaciones,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",192.168.0.100
Sunday,2025-12-21,09:15:18,Contabilidad,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",192.168.0.100
Sunday,2025-12-21,09:16:57,Gestión,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",192.168.0.100
Sunday,2026-01-04,16:13:57,Ciencias Políticas,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",192.168.0.100
Wednesday,2026-01-07,13:37:55,TI Organizaciones,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",192.168.0.100
Wednesday,2026-01-07,13:40:13,TI Organizaciones,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",192.168.0.100
Tuesday,2026-01-13,11:17:59,TI Organizaciones,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",192.168.2.28
Tuesday,2026-01-13,11:22:06,Ingeniería de Software,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",192.168.2.28
Tuesday,2026-01-13,11:45:59,Ingeniería de Software,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",192.168.2.28
